user_id,item_id,label_type,label_time,timestamp,predicted_label,prob_label_1,prob_label_2,domain_a_seq_38_len,domain_b_seq_67_len,domain_c_seq_27_len,domain_d_seq_17_len,domain_a_history_length,domain_b_history_length,domain_c_history_length,domain_d_history_length,total_history_length,is_error,predicted_confidence,true_label_probability,confidence_margin,time_bucket,activity_bucket
2930248,109119327,2,1772725794,1772725729,1,0.8701930642127991,0.12980692088603973,185,36,489,0,185,36,489,0,710,True,0.8701930642127991,0.12980692088603973,0.7403861433267593,time_4,activity_1
7871033,112347232,2,1772725698,1772725512,1,0.8667201399803162,0.13327988982200623,256,256,512,0,256,256,512,0,1024,True,0.8667201399803162,0.13327988982200623,0.7334402501583099,time_1,activity_1
11124697,265146184,2,1772725819,1772725620,1,0.8661279082298279,0.1338721364736557,256,152,161,1024,256,152,161,1024,1593,True,0.8661279082298279,0.1338721364736557,0.7322557717561722,time_4,activity_2
5768837,238594337,2,1772725766,1772725413,1,0.8656296133995056,0.13437040150165558,256,189,365,1024,256,189,365,1024,1834,True,0.8656296133995056,0.13437040150165558,0.73125921189785,time_3,activity_3
10175985,15944194,2,1772725732,1772725009,1,0.8631980419158936,0.13680191338062286,256,256,512,1024,256,256,512,1024,2048,True,0.8631980419158936,0.13680191338062286,0.7263961285352707,time_2,activity_4
10995344,177426736,2,1772725704,1772725196,1,0.8630791306495667,0.13692085444927216,256,256,436,1024,256,256,436,1024,1972,True,0.8630791306495667,0.13692085444927216,0.7261582762002945,time_1,activity_4
10446422,126753912,2,1772725854,1772725022,1,0.8628321886062622,0.1371677964925766,256,256,508,0,256,256,508,0,1020,True,0.8628321886062622,0.1371677964925766,0.7256643921136856,time_4,activity_1
11844890,153499507,2,1772725851,1772725218,1,0.8618067502975464,0.13819323480129242,256,256,512,1024,256,256,512,1024,2048,True,0.8618067502975464,0.13819323480129242,0.723613515496254,time_4,activity_4
8745995,98021883,2,1772725756,1772725437,1,0.8613430857658386,0.13865695893764496,256,256,284,620,256,256,284,620,1416,True,0.8613430857658386,0.13865695893764496,0.7226861268281937,time_3,activity_2
11987994,114472465,2,1772725799,1772725084,1,0.8599491715431213,0.14005087316036224,256,256,297,513,256,256,297,513,1322,True,0.8599491715431213,0.14005087316036224,0.7198982983827591,time_4,activity_2
5196984,32273459,2,1772725827,1772725323,1,0.859754204750061,0.14024579524993896,256,80,369,188,256,80,369,188,893,True,0.859754204750061,0.14024579524993896,0.7195084095001221,time_4,activity_1
9311212,51031981,2,1772725791,1772725284,1,0.859616756439209,0.14038322865962982,237,103,48,171,237,103,48,171,559,True,0.859616756439209,0.14038322865962982,0.7192335277795792,time_4,activity_1
4418267,45949915,2,1772725696,1772725442,1,0.8592246770858765,0.14077535271644592,256,256,512,1024,256,256,512,1024,2048,True,0.8592246770858765,0.14077535271644592,0.7184493243694305,time_1,activity_4
3498744,78589300,2,1772725743,1772725426,1,0.8587226271629333,0.14127734303474426,256,256,315,544,256,256,315,544,1371,True,0.8587226271629333,0.14127734303474426,0.7174452841281891,time_2,activity_2
12190840,87374070,2,1772725813,1772725295,1,0.8587225079536438,0.141277477145195,256,256,126,1024,256,256,126,1024,1662,True,0.8587225079536438,0.141277477145195,0.7174450308084488,time_4,activity_3
5828868,244113210,2,1772725720,1772725200,1,0.8586850762367249,0.14131493866443634,256,256,361,778,256,256,361,778,1651,True,0.8586850762367249,0.14131493866443634,0.7173701375722885,time_2,activity_3
10171301,5723598,2,1772725818,1772725371,1,0.8571237325668335,0.1428762972354889,256,256,344,809,256,256,344,809,1665,True,0.8571237325668335,0.1428762972354889,0.7142474353313446,time_4,activity_3
9404764,43901151,2,1772725903,1772725613,1,0.8560040593147278,0.14399594068527222,256,256,512,1024,256,256,512,1024,2048,True,0.8560040593147278,0.14399594068527222,0.7120081186294556,time_4,activity_4
8282861,156769787,2,1772725828,1772725026,1,0.8556910157203674,0.1443089246749878,256,256,207,1024,256,256,207,1024,1743,True,0.8556910157203674,0.1443089246749878,0.7113820910453796,time_4,activity_3
3587053,190975790,2,1772725835,1772725204,1,0.8555842041969299,0.1444157510995865,256,256,512,1024,256,256,512,1024,2048,True,0.8555842041969299,0.1444157510995865,0.7111684530973434,time_4,activity_4
12345913,257458733,2,1772725838,1772725676,1,0.8554020524024963,0.14459799230098724,216,64,36,1024,216,64,36,1024,1340,True,0.8554020524024963,0.14459799230098724,0.7108040601015091,time_4,activity_2
9309438,47065321,2,1772725744,1772725135,1,0.8553135395050049,0.14468644559383392,256,256,196,1024,256,256,196,1024,1732,True,0.8553135395050049,0.14468644559383392,0.710627093911171,time_2,activity_3
11479684,62480858,2,1772725793,1772725382,1,0.854874849319458,0.14512522518634796,256,256,109,1024,256,256,109,1024,1645,True,0.854874849319458,0.14512522518634796,0.70974962413311,time_4,activity_3
4296339,218298092,2,1772725757,1772725029,1,0.8548495769500732,0.14515048265457153,256,256,512,1024,256,256,512,1024,2048,True,0.8548495769500732,0.14515048265457153,0.7096990942955017,time_3,activity_4
3882941,154963340,2,1772725728,1772725583,1,0.8548014163970947,0.14519858360290527,256,256,279,1024,256,256,279,1024,1815,True,0.8548014163970947,0.14519858360290527,0.7096028327941895,time_2,activity_3
